Ulasan;Rating;Varian;L1;L2;L3;sentiment
Barangnya asli, masih disegel, pakingannya rapi, pengiriman cepat dan pelayanannya juga ramah semoga bisa berlangganan terus🙏;5;Biru;p;p;p;positive
super mantap... fast respon... recomended seller ⭐⭐⭐⭐⭐;5;Hijau;p;p;p;positive
sampai aman ke kalimantan, dan berfungsi dgn baik. terimakasih.;5;Biru;p;p;p;positive
Kemasan ga di segel, sinyal setelah di pasang kartu sim lemot parah dan harus pake wifi.;3;Hitam;n;n;n;negative
brg sdh sampe................................trims;5;Hijau;p;p;p;positive
Barang sesuai dan seller responnya bagus;5;Hijau;p;p;p;positive
Perdana beli smartphone di TokPed. Sempet ragu Karena ngirimnya dari Jakarta-Bali. Dan sempet panik Karena Gak Bisa pasang batrenya but admin chatnya respon cepet,Jadi sa... ;5;Hijau;p;p;p;positive
kereennn;5;Hitam;p;p;p;positive
Mantap, dikasih silicone case dan tempered glass 👍;5;Hijau;p;p;p;positive
pelanggan setia beli disini wkwkwkk;5;Biru;p;p;p;positive
"recomended seller....
sesuai spesifikasi";5;Hitam;p;p;p;positive
ok lah sesuai harga cocok buat orng tua yang gaptek ya biar bagus juga hp nya bagus mantap saran jangan pake expedisi JNE.;5;Hijau;p;p;p;positive
barangnya rusak;5;Hitam;n;n;n;negative
"barangnya sdh diterima dg aman,,  kondisi msh tersegel dan smua kelengkapan ny ada dan berfungsi dg baik,,  cuman bonus kartu perdananya udah gk aktif,, mudah""an hp n... ";5;Hitam;p;p;p;positive
Lengkap dan bagus sesuai dgn harga;5;Hijau;p;p;p;positive
respon cepat, pengiriman barang cepat, memuaskan.;5;Biru;p;p;p;positive
;4;Hitam;p;p;p;positive
Unit HP diterima dengan isi yg lengkap, packing aman, sayang ga ada bonus kartu perdananya;5;Biru;p;p;p;positive
paket tiba dengan aman. barang tidak ada masalah.;5;Biru;p;p;p;positive
Bundling max nya gak bisa di pakek, kotaknya udah gak di segel pastik.kemasan ok, pengiriman cepat , lain kali kartu garansi tolong diisi.. bisa buat increase kepercayaan... ;3;Hijau;n;n;n;negative
bagus lucu, harga segtu lumayan lah yang oke, makasih seler tokped😊;4;Hijau;p;p;p;positive
"Pengiriman sangat lama padahal masih dalam kota. 5 hari baru sampe kayak ke surabaya bro. 
Kartu perdana XL kadaluarsa bulan Maret 2023 sekarang udah Agustus. 
Box tanpa... ";1;Hijau;n;n;n;negative
Berfungsi baik sesuai deskripsi... Tks;5;Hitam;p;p;p;positive
sesuai ekspektasi.;5;Hijau;p;p;p;positive
best seller;5;Hijau;p;p;p;positive
Barang nya bagus;5;Hijau;p;p;p;positive
Pesona Indonesia, suka banget produk anak bangsa. 👍;5;Biru;p;p;p;positive
Paking rapi. Fast delivery, barang ori. Sesuai gambar. Android 11. Memory 2 gb/32gb. Charging ok. Hanya tidak support otg flashdisk.;3;Biru;p;p;p;positive
Barang masih disegel waktu sampai dan berfungsi dengan baik. top dah 👍💯;5;Hitam;p;p;p;positive
bagus mantap sesuai pesanan;5;Biru;p;p;p;positive
sampai tepat waktu, barang sesuai dibutuhi :D;5;Hijau;p;p;p;positive
Packing aman..selamat sampai tujuan..dapat bonus sim card kota lain dan sudah expired;5;Hitam;p;p;p;positive
Lumayan ⭐⭐⭐⭐⭐;5;Hitam;p;p;p;positive
semoga awet;5;Hitam;p;p;p;positive
brg cepat dikirim. seperti pesanan. makasih;5;Hitam;p;p;p;positive
"barang oke. dan sesuai order
pengiriman sesuai jadwal

oke lah pokok nya";5;Biru;p;p;p;positive
Berfungsi dengan baik;5;Hitam;p;p;p;positive
recommennded seller, bublenya tebel. semoga awet hpnya.;5;Biru;p;p;p;positive
Akhirnya sampai, seller official shop gercep, kondisi hape nya baik, dapat kartu XL, casing bening, lumayan bagus fiturnya utk harga segitu. pengiriman agak lama;5;Hijau;p;p;p;positive
maniszz;5;Hijau;p;p;p;positive
Respon seller cepat;5;Hijau;p;p;p;positive
Mantap Joss;5;Hitam;p;p;p;positive
simcardnya gak dikirim padahal sudah paket;2;Biru;n;n;n;negative
Beli 2 Barang bagus, lumayan untuk absensi kantor dan bisa buat bisnis;5;Biru;p;p;p;positive
Mksih bgt smg awet;5;Biru;p;p;p;positive
hapenya sejauh ini tidak ada masalah,cuma bonus kartunya sdh didaftarkan dan sdh lewat masa aktif, jd gak bs dipakai;5;Hitam;p;n;n;negative
untuk hp d kelasnya dengan harga yang murah it's okey bisa d jadiin alternatif lah;5;Hitam;p;p;p;positive
barang aman pengiriman juga oke sesusai estimasi 👍🏼;5;Biru;p;p;p;positive
Barang bagus sesuai harganya. Thanks;5;Hitam;p;p;p;positive
Terima kasih Tokopedia Terima kasih seller pengiriman cepat HP berfungsi dengan baik semoga awet amin terima kasih;5;Biru;p;p;p;positive
bagus.;5;Biru;p;p;p;positive
barangnya lumanya sesuai harga, terimakasih Tokopedia;4;Hijau;p;p;p;positive
sesuai deskripsi dan berfungsi dgn baik tapi sayang kartu perdana udah kadaluarsa jadi tidak bisa dipakai.;5;Hitam;p;n;n;negative
Untuk WA + Telegram cukup banget. Android Go 11 standar tanpa tambahan apps yang tidak diperlukan.  Gak pake medsos dan yang aneh2. Terimakasih  Advan Official Store, ini... ;5;Hijau;p;p;p;positive
semoga awet;5;Biru;p;p;p;positive
packaging aman, pengiriman ga terlalu lama walaupun sebenernya pake sameday sampenya 3 hari tapi gapapa sellernya ramah, kualitas hp lumayan bagus sesuai harga aja, dapet... ;5;Hijau;p;p;p;positive
barang ori bisa di pakai buat narik on line  , lumayan harga segitu, kalau bisa kapasitas batre nya di besarin lagi;5;Biru;p;p;p;positive
bagus,tapi baru cas sebentar charger panas,jadi 4 dulu ya..selainny ok.;4;Hitam;p;n;n;negative
top deh;5;Hitam;p;p;p;positive
kualitas sesuai harga, semoga awet;5;Hitam;p;p;p;positive
Barang saat sampai masih baguss dan aman sekali, sudah beli Advan NASA Pro 2× di official hasilnya memuaskan, jujur bangga punya hp brand lokal;5;Hitam;p;p;p;positive
Barang diterima dengan Baik...belum di pakai, semoga lancar Dan awet;5;Hitam;p;p;p;positive
Hp sampai, packaging nya tebal jadi aman, hp nyala dan berfungsi, casing silicon nya agak penyot sedikit tapi tidak apa-apa.;5;Hitam;p;p;p;positive
Alhamdulillah.hp Advan NASA pro sudah sampai dengan selamat.harga terjangkau, kualitas ori,segelbagus,aksesori lengkap (baterai,charger,kabel,casing,kartu perdana) anak s... ;5;Hijau;p;p;p;positive
barang sudah di terima,sesuai dengan pesanan dan deskripsi,barang aman sampai tujuan,semoga awet di pake anak saya,makasih Advan,toped dan kurirnya;5;Hijau;p;p;p;positive
;5;Hijau;p;p;p;positive
barang sesuai deakripsi, hanya lama saja pengirimannya;5;Biru;p;p;p;positive
original sangat memuaskan pengiriman cepat;5;Biru;p;p;p;positive
produk lumayan sesuai harga;5;Biru;p;p;p;positive
jazakumullaahu khoiran katsiran, paket sdh sy trima, sesuai pesanan warna biru...;5;Biru;p;p;p;positive
barang sudah dtg,sesuai deskripsi,warna sesuai dengan yang di pesan,mudah2an awet di pake anak saya.;5;Biru;p;p;p;positive
barang sesuai etalase, speknya juga sesuai deskripsi, pengiriman cepat dan seller komunikatif.;5;Hitam;p;p;p;positive
bagus hpnya, layar besar, kamera bening, ga lemot, suara jg jernih, pengiriman cepat;5;Hijau;p;p;p;positive
Pengiriman cepat...sesuai estimasi.hp tidak ada kendala.pokoknya buat banget sama pelayanannya.calon toko langganan saya.trims ya.jaga terus kwalitas pelayanannya.;5;Hijau;p;p;p;positive
ok;5;Biru;p;p;p;positive
barang sesuai dengan deskripsi, berhubung untuk hadiah semoga bisa berfungsi;5;Biru;p;p;p;positive
lemotttt;4;Biru;n;n;n;negative
Tidak begity HP cepat/kuat tapi bagus untuk harganya. Terima kasih.;5;Hitam;p;p;p;positive
Barang segel, sudah di coba, semua berfungsi baik;5;Biru;p;p;p;positive
original...dapat bonus kartu perdana simpati dan casing ...joss;5;Hitam;p;p;p;positive
;5;Hijau;p;p;p;positive
"barang sampai dan berfungsi dgn baik
semoga awet 💪

ini pembelian kedua saya bermerek Advan . semoga Advan ada yg ram3 dgn dapur pacu GG buat gaming dgn harga di bawah 1... ";5;Hijau;p;p;p;positive
"barang masih di segel 
admin sangat amat ramah dan cepat merespon
tidak nyesek beli di toko ini";5;Hijau;p;p;p;positive
recomen.. bagua banget . di bungkus buble tebal. ada free case bening. brg bagus kamera bagus;5;Biru;p;p;p;positive
produk sesuai deskripsi, terimakasih Advan & Tokopedia.;5;Hijau;p;p;p;positive
Anakku suka;5;Biru;p;p;p;positive
